series_id,series_name,unit,date,value
LNS11300000,Labor Force Participation Rate,Percent,2024-12-01,62.5
LNS11300000,Labor Force Participation Rate,Percent,2025-01-01,62.6
LNS11300000,Labor Force Participation Rate,Percent,2025-02-01,62.5
LNS11300000,Labor Force Participation Rate,Percent,2025-03-01,62.5
LNS11300000,Labor Force Participation Rate,Percent,2025-04-01,62.6
LNS11300000,Labor Force Participation Rate,Percent,2025-05-01,62.4
LNS11300000,Labor Force Participation Rate,Percent,2025-06-01,62.3
LNS11300000,Labor Force Participation Rate,Percent,2025-07-01,62.2
LNS11300000,Labor Force Participation Rate,Percent,2025-08-01,62.3
LNS11300000,Labor Force Participation Rate,Percent,2025-09-01,62.5
LNS11300000,Labor Force Participation Rate,Percent,2025-10-01,
LNS11300000,Labor Force Participation Rate,Percent,2025-11-01,62.5
LNS11300000,Labor Force Participation Rate,Percent,2025-12-01,62.4
LNS11300000,Labor Force Participation Rate,Percent,2026-01-01,62.1
LNS11300000,Labor Force Participation Rate,Percent,2026-02-01,62.0
LNS11300000,Labor Force Participation Rate,Percent,2026-03-01,61.9
LNS11300000,Labor Force Participation Rate,Percent,2026-04-01,61.8
LNS11300000,Labor Force Participation Rate,Percent,2026-05-01,61.8
LNS11300000,Labor Force Participation Rate,Percent,2026-06-01,61.5
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-01-01,1094.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-02-01,1062.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-03-01,1067.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-04-01,1076.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-05-01,1151.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-06-01,1122.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-07-01,1190.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-08-01,1360.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-09-01,1241.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-10-01,1327.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-11-01,1166.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2023-12-01,1273.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-01-01,1279.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-02-01,1219.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-03-01,1259.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-04-01,1249.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-05-01,1356.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-06-01,1534.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-07-01,1537.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-08-01,1536.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-09-01,1612.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-10-01,1604.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-11-01,1651.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2024-12-01,1551.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-01-01,1449.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-02-01,1461.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-03-01,1499.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-04-01,1672.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-05-01,1464.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-06-01,1651.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-07-01,1822.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-08-01,1924.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-09-01,1815.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-10-01,
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-11-01,1910.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2025-12-01,1948.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2026-01-01,1813.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2026-02-01,1899.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2026-03-01,1821.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2026-04-01,1833.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2026-05-01,1988.0
LNS13008636,Long-Term Unemployment (27+ wks),Thousands,2026-06-01,1937.0
LNS14000000,Unemployment Rate,Percent,2023-01-01,3.5
LNS14000000,Unemployment Rate,Percent,2023-02-01,3.6
LNS14000000,Unemployment Rate,Percent,2023-03-01,3.5
LNS14000000,Unemployment Rate,Percent,2023-04-01,3.4
LNS14000000,Unemployment Rate,Percent,2023-05-01,3.6
LNS14000000,Unemployment Rate,Percent,2023-06-01,3.6
LNS14000000,Unemployment Rate,Percent,2023-07-01,3.5
LNS14000000,Unemployment Rate,Percent,2023-08-01,3.7
LNS14000000,Unemployment Rate,Percent,2023-09-01,3.7
LNS14000000,Unemployment Rate,Percent,2023-10-01,3.9
LNS14000000,Unemployment Rate,Percent,2023-11-01,3.7
LNS14000000,Unemployment Rate,Percent,2023-12-01,3.8
LNS14000000,Unemployment Rate,Percent,2024-01-01,3.7
LNS14000000,Unemployment Rate,Percent,2024-02-01,3.9
LNS14000000,Unemployment Rate,Percent,2024-03-01,3.9
LNS14000000,Unemployment Rate,Percent,2024-04-01,3.9
LNS14000000,Unemployment Rate,Percent,2024-05-01,3.9
LNS14000000,Unemployment Rate,Percent,2024-06-01,4.1
LNS14000000,Unemployment Rate,Percent,2024-07-01,4.2
LNS14000000,Unemployment Rate,Percent,2024-08-01,4.2
LNS14000000,Unemployment Rate,Percent,2024-09-01,4.1
LNS14000000,Unemployment Rate,Percent,2024-10-01,4.1
LNS14000000,Unemployment Rate,Percent,2024-11-01,4.2
LNS14000000,Unemployment Rate,Percent,2024-12-01,4.1
LNS14000000,Unemployment Rate,Percent,2025-01-01,4.0
LNS14000000,Unemployment Rate,Percent,2025-02-01,4.2
LNS14000000,Unemployment Rate,Percent,2025-03-01,4.2
LNS14000000,Unemployment Rate,Percent,2025-04-01,4.2
LNS14000000,Unemployment Rate,Percent,2025-05-01,4.3
LNS14000000,Unemployment Rate,Percent,2025-06-01,4.1
LNS14000000,Unemployment Rate,Percent,2025-07-01,4.3
LNS14000000,Unemployment Rate,Percent,2025-08-01,4.3
LNS14000000,Unemployment Rate,Percent,2025-09-01,4.4
LNS14000000,Unemployment Rate,Percent,2025-10-01,
LNS14000000,Unemployment Rate,Percent,2025-11-01,4.5
LNS14000000,Unemployment Rate,Percent,2025-12-01,4.4
LNS14000000,Unemployment Rate,Percent,2026-01-01,4.3
LNS14000000,Unemployment Rate,Percent,2026-02-01,4.4
LNS14000000,Unemployment Rate,Percent,2026-03-01,4.3
LNS14000000,Unemployment Rate,Percent,2026-04-01,4.3
LNS14000000,Unemployment Rate,Percent,2026-05-01,4.3
LNS14000000,Unemployment Rate,Percent,2026-06-01,4.2
